epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,0.44513,53.00000,35.00000,7465
1,1,0.35491,55.00000,30.00000,511
1,2,0.31883,46.00000,35.00000,193
1,3,0.30033,54.00000,30.00000,216
1,4,0.28976,51.00000,36.00000,205
1,5,0.28042,42.00000,35.00000,234
1,6,0.26956,65.00000,30.00000,223
1,7,0.25988,56.00000,35.00000,195
1,8,0.24276,58.00000,30.00000,197
1,9,0.23896,64.00000,30.00000,209
1,10,0.22769,54.00000,30.00000,196
1,11,0.22190,43.00000,36.00000,188
1,12,0.20995,51.00000,30.00000,200
1,13,0.19922,53.00000,30.00000,218
1,14,0.19002,53.00000,30.00000,195
1,15,0.18717,58.00000,30.00000,197
1,16,0.17056,48.00000,35.00000,204
1,17,0.16613,35.00000,36.00000,224
1,18,0.16045,41.00000,36.00000,212
1,19,0.15744,57.00000,30.00000,204
1,20,0.14906,62.00000,30.00000,225
1,21,0.14307,45.00000,36.00000,339
1,22,0.15328,42.00000,36.00000,346
1,23,0.14519,46.00000,35.00000,254
1,24,0.14218,53.00000,36.00000,305
1,25,0.13620,59.00000,35.00000,193
1,26,0.14389,55.00000,35.00000,217
1,27,0.13257,53.00000,35.00000,222
1,28,0.13596,46.00000,40.00000,215
1,29,0.12952,55.00000,30.00000,202
1,30,0.13939,49.00000,35.00000,2413
1,31,0.13148,63.00000,30.00000,541
1,32,0.12439,50.00000,35.00000,493
1,33,0.13500,52.00000,35.00000,262
1,34,0.12389,53.00000,35.00000,180
2,0,0.12375,61.00000,30.00000,1659
2,1,0.11870,50.00000,35.00000,322
2,2,0.11130,64.00000,30.00000,201
2,3,0.11846,35.00000,36.00000,198
2,4,0.11476,54.00000,35.00000,183
2,5,0.11217,44.00000,36.00000,194
2,6,0.11527,47.00000,35.00000,199
2,7,0.11074,55.00000,30.00000,204
2,8,0.11452,64.00000,30.00000,190
2,9,0.11452,43.00000,36.00000,188
2,10,0.11077,64.00000,30.00000,1587
2,11,0.10640,53.00000,35.00000,308
2,12,0.10851,37.00000,36.00000,196
2,13,0.10887,57.00000,30.00000,210
2,14,0.10678,57.00000,30.00000,190
2,15,0.11329,42.00000,40.00000,208
