epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,0.48145,49.00000,35.00000,5212
1,1,0.34017,58.00000,36.00000,380
1,2,0.28268,64.00000,30.00000,213
1,3,0.26009,65.00000,30.00000,205
1,4,0.23416,61.00000,35.00000,160
1,5,0.21551,51.00000,35.00000,187
2,0,0.20786,56.00000,35.00000,1293
2,1,0.18129,67.00000,30.00000,203
2,2,0.20709,58.00000,30.00000,158
2,3,0.16560,71.00000,30.00000,169
2,4,0.14998,71.00000,30.00000,167
2,5,0.15519,64.00000,30.00000,160
3,0,0.15523,55.00000,36.00000,1009
3,1,0.14916,59.00000,35.00000,190
3,2,0.13965,63.00000,30.00000,189
3,3,0.13857,64.00000,30.00000,198
3,4,0.13284,61.00000,36.00000,190
3,5,0.17661,53.00000,36.00000,188
4,0,0.13006,50.00000,40.00000,984
4,1,0.13609,60.00000,35.00000,167
4,2,0.14717,65.00000,30.00000,186
4,3,0.13407,66.00000,35.00000,217
4,4,0.12003,55.00000,35.00000,158
4,5,0.11294,59.00000,35.00000,187
5,0,0.11638,60.00000,35.00000,335
5,1,0.11019,60.00000,35.00000,200
5,2,0.11655,61.00000,35.00000,163
5,3,0.09541,66.00000,30.00000,159
5,4,0.10821,54.00000,36.00000,157
5,5,0.11713,53.00000,35.00000,221
6,0,0.10456,56.00000,36.00000,547
6,1,0.09455,61.00000,30.00000,190
6,2,0.09280,56.00000,35.00000,197
6,3,0.10242,65.00000,35.00000,194
6,4,0.09014,43.00000,36.00000,181
6,5,0.08360,59.00000,30.00000,192
7,0,0.08190,49.00000,40.00000,1918
7,1,0.09327,45.00000,36.00000,178
7,2,0.12572,43.00000,35.00000,190
7,3,0.08231,62.00000,30.00000,187
7,4,0.12225,55.00000,35.00000,183
7,5,0.08229,55.00000,35.00000,219
8,0,0.08595,67.00000,30.00000,1040
8,1,0.10325,68.00000,30.00000,171
8,2,0.08470,58.00000,35.00000,193
8,3,0.08919,37.00000,36.00000,181
8,4,0.11069,66.00000,30.00000,185
8,5,0.08693,71.00000,30.00000,174
9,0,0.08452,67.00000,30.00000,774
9,1,0.07467,59.00000,36.00000,173
9,2,0.08559,56.00000,35.00000,166
9,3,0.08611,55.00000,35.00000,163
9,4,0.08842,58.00000,35.00000,190
9,5,0.08740,61.00000,36.00000,195
10,0,0.07708,53.00000,36.00000,1516
10,1,0.08722,59.00000,35.00000,159
10,2,0.08161,61.00000,35.00000,163
10,3,0.07505,73.00000,30.00000,200
10,4,0.08792,59.00000,36.00000,190
10,5,0.08975,63.00000,30.00000,161
11,0,0.08683,67.00000,35.00000,1817
