epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,0.48147,50.00000,36.00000,4533
1,1,0.34470,70.00000,30.00000,232
1,2,0.27914,55.00000,35.00000,161
1,3,0.26176,65.00000,30.00000,164
1,4,0.22925,61.00000,35.00000,162
1,5,0.23118,51.00000,35.00000,154
1,6,0.21098,69.00000,30.00000,167
1,7,0.21242,65.00000,30.00000,155
1,8,0.19319,61.00000,30.00000,159
1,9,0.17767,50.00000,35.00000,147
1,10,0.16007,72.00000,30.00000,167
1,11,0.16145,73.00000,30.00000,168
epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,0.48145,49.00000,35.00000,5273
1,1,0.34017,52.00000,35.00000,401
1,2,0.28268,61.00000,30.00000,185
1,3,0.26009,52.00000,36.00000,175
1,4,0.23416,61.00000,35.00000,194
1,5,0.21551,60.00000,30.00000,192
2,0,0.20786,61.00000,30.00000,1015
2,1,0.18129,49.00000,35.00000,176
2,2,0.20709,65.00000,30.00000,189
2,3,0.16560,71.00000,30.00000,170
2,4,0.14998,71.00000,30.00000,168
2,5,0.15519,64.00000,30.00000,160
3,0,0.15523,77.00000,30.00000,229
3,1,0.14916,59.00000,35.00000,185
3,2,0.13965,71.00000,30.00000,166
3,3,0.13857,61.00000,36.00000,164
3,4,0.13284,61.00000,36.00000,192
3,5,0.17661,53.00000,36.00000,190
4,0,0.13006,66.00000,35.00000,1239
4,1,0.13609,48.00000,40.00000,191
4,2,0.14717,58.00000,35.00000,189
4,3,0.13407,66.00000,35.00000,166
4,4,0.12003,66.00000,30.00000,185
4,5,0.11294,59.00000,35.00000,183
5,0,0.11638,60.00000,35.00000,547
5,1,0.11019,63.00000,30.00000,168
5,2,0.11655,61.00000,35.00000,193
5,3,0.09541,57.00000,35.00000,157
5,4,0.10821,60.00000,35.00000,192
5,5,0.11713,56.00000,36.00000,157
6,0,0.10456,49.00000,30.00000,300
6,1,0.09455,59.00000,35.00000,190
6,2,0.09280,75.00000,30.00000,196
6,3,0.10242,65.00000,35.00000,191
6,4,0.09014,43.00000,36.00000,177
6,5,0.08360,48.00000,36.00000,186
7,0,0.08190,59.00000,35.00000,189
7,1,0.09327,59.00000,35.00000,205
7,2,0.12572,61.00000,36.00000,192
7,3,0.08231,48.00000,40.00000,183
7,4,0.12225,52.00000,30.00000,183
7,5,0.08229,55.00000,35.00000,194
8,0,0.08595,64.00000,30.00000,539
8,1,0.10325,68.00000,30.00000,168
8,2,0.08470,71.00000,30.00000,196
8,3,0.08919,37.00000,36.00000,178
8,4,0.11069,50.00000,35.00000,183
8,5,0.08693,71.00000,30.00000,168
9,0,0.08452,41.00000,36.00000,200
9,1,0.07467,64.00000,30.00000,174
9,2,0.08559,56.00000,35.00000,162
9,3,0.08611,55.00000,35.00000,164
9,4,0.08842,58.00000,35.00000,189
9,5,0.08740,61.00000,36.00000,194
10,0,0.07708,53.00000,36.00000,1435
10,1,0.08722,59.00000,35.00000,160
10,2,0.08161,61.00000,35.00000,190
10,3,0.07505,73.00000,30.00000,199
10,4,0.08792,67.00000,30.00000,162
10,5,0.08975,54.00000,36.00000,156
11,0,0.08683,49.00000,40.00000,1894
11,1,0.08580,52.00000,35.00000,193
11,2,0.08405,47.00000,35.00000,190
11,3,0.09702,67.00000,30.00000,194
11,4,0.08515,57.00000,35.00000,189
11,5,0.08289,58.00000,35.00000,190
12,0,0.08412,53.00000,35.00000,844
12,1,0.07908,60.00000,35.00000,3242
12,2,0.08801,49.00000,35.00000,186
12,3,0.08679,59.00000,30.00000,162
12,4,0.07814,71.00000,30.00000,168
12,5,0.09284,76.00000,30.00000,172
13,0,0.08582,70.00000,30.00000,193
13,1,0.08848,64.00000,30.00000,194
13,2,0.09046,66.00000,30.00000,193
13,3,0.09464,45.00000,35.00000,187
13,4,0.09319,67.00000,30.00000,196
13,5,0.08972,57.00000,30.00000,187
14,0,0.09721,53.00000,36.00000,1360
14,1,0.10239,65.00000,30.00000,192
14,2,0.08400,76.00000,30.00000,198
14,3,0.09761,54.00000,35.00000,183
14,4,0.07721,58.00000,35.00000,186
14,5,0.10566,60.00000,35.00000,184
15,0,0.09314,67.00000,30.00000,203
15,1,0.09719,66.00000,30.00000,167
15,2,0.08873,67.00000,30.00000,223
15,3,0.09576,56.00000,35.00000,164
15,4,0.08240,59.00000,30.00000,184
15,5,0.08403,66.00000,30.00000,161
16,0,0.09631,61.00000,30.00000,853
16,1,0.09738,61.00000,30.00000,165
16,2,0.10033,49.00000,30.00000,194
16,3,0.08642,61.00000,30.00000,186
16,4,0.08273,58.00000,35.00000,220
16,5,0.09844,49.00000,36.00000,167
17,0,0.08535,40.00000,36.00000,897
17,1,0.09786,62.00000,35.00000,161
17,2,0.08869,64.00000,35.00000,163
17,3,0.08790,52.00000,36.00000,162
17,4,0.09987,65.00000,30.00000,158
17,5,0.09136,55.00000,30.00000,158
18,0,0.08907,64.00000,30.00000,190
18,1,0.09049,48.00000,35.00000,155
18,2,0.10850,69.00000,30.00000,190
18,3,0.08931,65.00000,35.00000,194
18,4,0.09515,57.00000,35.00000,163
18,5,0.08849,54.00000,35.00000,157
19,0,0.09150,73.00000,30.00000,871
19,1,0.09377,54.00000,35.00000,188
19,2,0.09855,55.00000,35.00000,154
19,3,0.09304,53.00000,30.00000,156
19,4,0.09141,55.00000,36.00000,158
19,5,0.09469,62.00000,35.00000,190
20,0,0.09811,30.00000,36.00000,1212
20,1,0.08490,49.00000,40.00000,195
20,2,0.09531,60.00000,30.00000,168
20,3,0.09413,49.00000,35.00000,182
20,4,0.09485,43.00000,40.00000,152
20,5,0.10268,60.00000,35.00000,166
21,0,0.09138,67.00000,30.00000,937
21,1,0.08206,47.00000,35.00000,146
21,2,0.10340,76.00000,30.00000,223
21,3,0.10140,45.00000,36.00000,160
21,4,0.09894,59.00000,36.00000,218
21,5,0.08885,53.00000,36.00000,188
22,0,0.09674,55.00000,36.00000,1528
22,1,0.09401,48.00000,36.00000,184
22,2,0.10094,55.00000,35.00000,188
22,3,0.10670,54.00000,36.00000,188
22,4,0.09096,67.00000,30.00000,214
22,5,0.10070,75.00000,30.00000,170
23,0,0.09219,61.00000,30.00000,468
23,1,0.09464,60.00000,36.00000,185
23,2,0.09637,73.00000,30.00000,197
23,3,0.09589,51.00000,35.00000,155
23,4,0.09039,67.00000,30.00000,198
23,5,0.09411,54.00000,36.00000,185
24,0,0.09289,43.00000,36.00000,1168
24,1,0.09294,75.00000,30.00000,236
24,2,0.09471,67.00000,30.00000,211
24,3,0.09239,69.00000,30.00000,193
24,4,0.09025,55.00000,35.00000,196
24,5,0.09003,67.00000,30.00000,198
25,0,0.09698,55.00000,30.00000,377
25,1,0.09238,55.00000,30.00000,189
25,2,0.08507,63.00000,30.00000,197
25,3,0.09709,53.00000,35.00000,154
25,4,0.08966,53.00000,35.00000,158
25,5,0.10103,49.00000,35.00000,161
26,0,0.08351,55.00000,30.00000,192
26,1,0.09038,57.00000,35.00000,173
26,2,0.09496,68.00000,30.00000,164
26,3,0.09397,61.00000,30.00000,159
26,4,0.10003,67.00000,30.00000,187
26,5,0.10067,55.00000,36.00000,184
27,0,0.09933,71.00000,30.00000,189
27,1,0.09770,51.00000,36.00000,158
27,2,0.10073,59.00000,35.00000,171
27,3,0.10068,50.00000,35.00000,189
27,4,0.10444,69.00000,30.00000,163
27,5,0.10511,58.00000,35.00000,185
28,0,0.09464,68.00000,30.00000,1183
28,1,0.11013,65.00000,30.00000,219
28,2,0.09373,31.00000,36.00000,158
28,3,0.10113,61.00000,30.00000,157
28,4,0.09077,55.00000,35.00000,157
28,5,0.10080,67.00000,30.00000,187
29,0,0.10084,67.00000,30.00000,216
29,1,0.10420,54.00000,35.00000,184
29,2,0.10072,52.00000,36.00000,153
29,3,0.10521,63.00000,35.00000,218
29,4,0.09559,72.00000,30.00000,196
29,5,0.09328,53.00000,35.00000,188
30,0,0.09566,66.00000,35.00000,372
30,1,0.10213,47.00000,35.00000,178
30,2,0.09777,57.00000,35.00000,190
30,3,0.09737,62.00000,35.00000,165
30,4,0.09292,62.00000,30.00000,211
30,5,0.08974,73.00000,30.00000,200
31,0,0.08645,66.00000,30.00000,468
31,1,0.09114,52.00000,36.00000,168
31,2,0.10503,58.00000,36.00000,162
31,3,0.10359,61.00000,36.00000,187
31,4,0.09542,63.00000,30.00000,159
31,5,0.09859,67.00000,30.00000,186
32,0,0.10311,61.00000,30.00000,187
32,1,0.10809,42.00000,40.00000,156
32,2,0.10033,63.00000,30.00000,158
32,3,0.10368,64.00000,30.00000,158
32,4,0.09775,58.00000,36.00000,157
32,5,0.09588,49.00000,36.00000,158
33,0,0.10472,45.00000,35.00000,248
33,1,0.10276,69.00000,30.00000,178
33,2,0.09683,60.00000,30.00000,156
33,3,0.10822,63.00000,35.00000,189
33,4,0.09100,46.00000,35.00000,166
33,5,0.09556,51.00000,35.00000,158
34,0,0.09061,55.00000,36.00000,1444
34,1,0.10575,56.00000,35.00000,157
34,2,0.09469,72.00000,30.00000,173
34,3,0.10153,61.00000,30.00000,190
34,4,0.09062,60.00000,30.00000,210
34,5,0.10187,54.00000,35.00000,183
35,0,0.09193,51.00000,35.00000,178
35,1,0.10181,69.00000,30.00000,187
35,2,0.10373,54.00000,35.00000,185
35,3,0.10274,51.00000,35.00000,149
35,4,0.09608,46.00000,36.00000,153
35,5,0.10443,58.00000,36.00000,160
36,0,0.08995,58.00000,35.00000,430
36,1,0.10541,76.00000,30.00000,183
36,2,0.09756,51.00000,35.00000,183
36,3,0.08938,59.00000,30.00000,188
36,4,0.09176,48.00000,36.00000,187
36,5,0.09487,55.00000,36.00000,187
37,0,0.09496,69.00000,30.00000,597
37,1,0.08986,53.00000,35.00000,164
37,2,0.09735,53.00000,40.00000,201
37,3,0.09103,55.00000,36.00000,155
