epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,0.44406,66.00000,30.00000,5579
1,1,0.35471,58.00000,35.00000,365
1,2,0.32404,49.00000,35.00000,190
1,3,0.30972,50.00000,35.00000,133
1,4,0.29954,69.00000,30.00000,143
1,5,0.28119,57.00000,30.00000,140
1,6,0.28421,47.00000,36.00000,129
1,7,0.27013,67.00000,30.00000,134
1,8,0.24771,58.00000,30.00000,95
1,9,0.25414,60.00000,35.00000,137
1,10,0.24104,52.00000,36.00000,144
1,11,0.23062,55.00000,30.00000,135
1,12,0.23440,73.00000,30.00000,137
1,13,0.22349,52.00000,35.00000,133
1,14,0.19876,49.00000,30.00000,134
1,15,0.19822,50.00000,36.00000,135
1,16,0.20956,71.00000,30.00000,127
1,17,0.18836,52.00000,36.00000,135
1,18,0.17723,65.00000,30.00000,125
1,19,0.17562,64.00000,30.00000,130
1,20,0.16899,73.00000,30.00000,139
2,0,0.16584,55.00000,36.00000,767
2,1,0.16073,57.00000,35.00000,126
2,2,0.15054,44.00000,40.00000,109
2,3,0.15927,57.00000,35.00000,140
2,4,0.15451,69.00000,36.00000,100
2,5,0.15329,63.00000,35.00000,163
2,6,0.15537,46.00000,36.00000,136
2,7,0.15948,53.00000,35.00000,158
2,8,0.14358,48.00000,35.00000,98
2,9,0.13484,66.00000,30.00000,139
2,10,0.13526,63.00000,30.00000,123
2,11,0.13805,62.00000,35.00000,116
2,12,0.13822,69.00000,35.00000,156
2,13,0.12801,64.00000,36.00000,134
2,14,0.13387,63.00000,35.00000,141
2,15,0.12417,66.00000,30.00000,133
2,16,0.11142,64.00000,30.00000,106
2,17,0.12273,55.00000,30.00000,156
2,18,0.12711,47.00000,35.00000,124
2,19,0.11842,59.00000,36.00000,142
2,20,0.11831,62.00000,30.00000,131
3,0,0.12991,53.00000,36.00000,1273
3,1,0.11977,56.00000,35.00000,127
3,2,0.11667,61.00000,30.00000,144
3,3,0.12632,60.00000,35.00000,135
3,4,0.10494,47.00000,35.00000,121
3,5,0.10754,57.00000,36.00000,111
3,6,0.10439,57.00000,30.00000,140
3,7,0.12156,51.00000,35.00000,129
3,8,0.11267,69.00000,30.00000,103
3,9,0.10235,42.00000,40.00000,153
