epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,0.44406,66.00000,30.00000,4684
1,1,0.35471,63.00000,30.00000,352
1,2,0.32404,60.00000,36.00000,151
1,3,0.30972,50.00000,35.00000,160
1,4,0.29954,70.00000,30.00000,115
1,5,0.28119,57.00000,30.00000,128
1,6,0.28421,53.00000,35.00000,137
1,7,0.27013,53.00000,35.00000,132
1,8,0.24771,58.00000,30.00000,130
1,9,0.25414,60.00000,35.00000,141
1,10,0.24104,62.00000,30.00000,171
1,11,0.23062,56.00000,36.00000,110
1,12,0.23440,73.00000,30.00000,165
1,13,0.22349,69.00000,36.00000,101
1,14,0.19876,51.00000,35.00000,134
1,15,0.19822,57.00000,30.00000,166
1,16,0.20956,55.00000,36.00000,131
1,17,0.18836,69.00000,30.00000,144
1,18,0.17723,67.00000,30.00000,85
1,19,0.17562,64.00000,30.00000,131
1,20,0.16899,73.00000,30.00000,140
2,0,0.16584,58.00000,35.00000,263
2,1,0.16073,57.00000,35.00000,136
2,2,0.15054,44.00000,40.00000,122
2,3,0.15927,49.00000,36.00000,124
2,4,0.15451,48.00000,35.00000,118
2,5,0.15329,52.00000,36.00000,116
2,6,0.15537,69.00000,30.00000,164
2,7,0.15948,53.00000,35.00000,119
2,8,0.14358,51.00000,36.00000,145
2,9,0.13484,56.00000,35.00000,155
2,10,0.13526,45.00000,36.00000,124
2,11,0.13805,57.00000,36.00000,115
2,12,0.13822,69.00000,35.00000,114
2,13,0.12801,59.00000,35.00000,128
2,14,0.13387,69.00000,30.00000,140
2,15,0.12417,67.00000,30.00000,134
2,16,0.11142,55.00000,35.00000,141
2,17,0.12273,54.00000,30.00000,146
2,18,0.12711,47.00000,35.00000,124
2,19,0.11842,66.00000,30.00000,143
2,20,0.11831,62.00000,30.00000,130
3,0,0.12991,64.00000,35.00000,156
3,1,0.11977,74.00000,30.00000,115
3,2,0.11667,55.00000,36.00000,162
3,3,0.12632,60.00000,35.00000,147
3,4,0.10494,51.00000,36.00000,111
3,5,0.10754,71.00000,35.00000,117
3,6,0.10439,43.00000,40.00000,150
3,7,0.12156,51.00000,35.00000,110
3,8,0.11267,69.00000,30.00000,99
3,9,0.10235,63.00000,30.00000,142
3,10,0.10487,57.00000,35.00000,151
3,11,0.11878,53.00000,30.00000,108
3,12,0.11170,46.00000,35.00000,174
3,13,0.10795,55.00000,35.00000,161
3,14,0.11714,64.00000,30.00000,119
3,15,0.11675,69.00000,30.00000,125
3,16,0.11307,70.00000,30.00000,134
3,17,0.10944,62.00000,35.00000,135
3,18,0.12723,54.00000,36.00000,143
3,19,0.10319,71.00000,30.00000,130
3,20,0.11755,55.00000,35.00000,137
4,0,0.12928,30.00000,36.00000,172
4,1,0.11142,57.00000,30.00000,132
4,2,0.11176,57.00000,36.00000,108
4,3,0.11178,52.00000,35.00000,104
4,4,0.12356,69.00000,30.00000,187
4,5,0.11185,62.00000,35.00000,159
4,6,0.10609,52.00000,36.00000,143
4,7,0.11345,59.00000,35.00000,137
4,8,0.12881,61.00000,35.00000,103
4,9,0.11391,52.00000,36.00000,103
4,10,0.11310,43.00000,36.00000,102
4,11,0.11920,57.00000,35.00000,137
4,12,0.11118,51.00000,40.00000,135
4,13,0.12052,60.00000,35.00000,143
4,14,0.12047,60.00000,35.00000,106
4,15,0.09464,51.00000,30.00000,96
4,16,0.11207,61.00000,36.00000,134
4,17,0.11397,75.00000,30.00000,130
4,18,0.11109,72.00000,30.00000,101
4,19,0.11344,71.00000,30.00000,104
4,20,0.11998,55.00000,35.00000,92
5,0,0.11217,66.00000,35.00000,138
5,1,0.10299,56.00000,35.00000,151
5,2,0.11987,68.00000,30.00000,108
5,3,0.11084,55.00000,35.00000,117
5,4,0.10121,59.00000,30.00000,121
5,5,0.10874,53.00000,30.00000,110
5,6,0.10341,67.00000,35.00000,114
5,7,0.10441,55.00000,35.00000,118
5,8,0.10175,66.00000,30.00000,131
5,9,0.12820,60.00000,35.00000,123
5,10,0.11493,69.00000,30.00000,95
5,11,0.09892,69.00000,30.00000,99
5,12,0.11751,65.00000,30.00000,105
5,13,0.10436,61.00000,30.00000,109
5,14,0.10800,63.00000,35.00000,102
5,15,0.10045,62.00000,30.00000,92
5,16,0.10600,72.00000,30.00000,101
5,17,0.10985,61.00000,30.00000,101
5,18,0.11188,71.00000,30.00000,115
5,19,0.11427,46.00000,35.00000,106
5,20,0.12812,62.00000,35.00000,125
6,0,0.10695,52.00000,36.00000,201
6,1,0.10635,64.00000,35.00000,131
6,2,0.11639,62.00000,30.00000,100
6,3,0.11044,49.00000,35.00000,151
6,4,0.11114,50.00000,35.00000,139
6,5,0.12997,59.00000,30.00000,117
6,6,0.11160,63.00000,35.00000,117
6,7,0.11176,69.00000,30.00000,106
6,8,0.10586,54.00000,35.00000,114
6,9,0.12593,63.00000,30.00000,154
6,10,0.13305,69.00000,30.00000,144
6,11,0.12355,65.00000,30.00000,94
6,12,0.12390,43.00000,36.00000,90
6,13,0.10484,60.00000,30.00000,99
6,14,0.11422,59.00000,30.00000,113
6,15,0.12697,45.00000,36.00000,120
6,16,0.11520,63.00000,30.00000,93
6,17,0.11010,68.00000,30.00000,93
6,18,0.11100,68.00000,30.00000,98
6,19,0.11035,67.00000,30.00000,95
6,20,0.10571,63.00000,35.00000,201
7,0,0.10249,53.00000,30.00000,159
7,1,0.11159,62.00000,35.00000,99
7,2,0.11146,67.00000,35.00000,115
7,3,0.10569,53.00000,36.00000,116
7,4,0.12018,60.00000,30.00000,98
7,5,0.10524,55.00000,36.00000,107
7,6,0.10702,65.00000,36.00000,120
7,7,0.10587,61.00000,30.00000,134
7,8,0.11773,47.00000,35.00000,109
7,9,0.11177,63.00000,35.00000,118
7,10,0.11070,50.00000,35.00000,122
7,11,0.12296,56.00000,35.00000,90
7,12,0.09914,68.00000,30.00000,99
7,13,0.11372,51.00000,35.00000,135
7,14,0.12054,53.00000,35.00000,124
7,15,0.11458,53.00000,35.00000,106
7,16,0.11841,57.00000,30.00000,124
7,17,0.10271,77.00000,30.00000,111
7,18,0.10604,49.00000,35.00000,124
7,19,0.13530,63.00000,35.00000,151
7,20,0.12295,69.00000,30.00000,95
8,0,0.12380,65.00000,30.00000,150
8,1,0.11542,55.00000,35.00000,145
8,2,0.10373,50.00000,40.00000,116
8,3,0.10877,47.00000,35.00000,174
8,4,0.10638,59.00000,30.00000,138
8,5,0.10835,46.00000,35.00000,90
8,6,0.10509,43.00000,40.00000,172
8,7,0.10467,56.00000,35.00000,139
8,8,0.10424,51.00000,36.00000,148
8,9,0.10554,58.00000,36.00000,111
8,10,0.09503,62.00000,35.00000,120
8,11,0.12116,52.00000,35.00000,124
8,12,0.11436,63.00000,30.00000,151
8,13,0.11051,76.00000,30.00000,106
8,14,0.11793,57.00000,35.00000,140
8,15,0.10573,60.00000,36.00000,123
8,16,0.12453,70.00000,30.00000,111
8,17,0.12436,60.00000,36.00000,139
8,18,0.11876,63.00000,30.00000,84
8,19,0.12950,50.00000,36.00000,103
8,20,0.10209,49.00000,40.00000,96
9,0,0.10588,55.00000,36.00000,188
9,1,0.11193,47.00000,35.00000,116
9,2,0.10846,66.00000,30.00000,141
9,3,0.12232,47.00000,36.00000,166
9,4,0.11727,62.00000,35.00000,135
9,5,0.11784,60.00000,36.00000,121
9,6,0.10429,53.00000,36.00000,122
9,7,0.10774,49.00000,30.00000,130
9,8,0.10486,64.00000,30.00000,148
9,9,0.11051,42.00000,35.00000,153
9,10,0.10841,53.00000,30.00000,106
9,11,0.09502,59.00000,35.00000,97
9,12,0.10833,49.00000,36.00000,96
9,13,0.10967,52.00000,30.00000,95
9,14,0.10450,65.00000,36.00000,104
9,15,0.10967,53.00000,36.00000,99
9,16,0.11076,70.00000,30.00000,109
9,17,0.11368,67.00000,30.00000,139
9,18,0.10531,45.00000,36.00000,117
9,19,0.11090,56.00000,35.00000,113
9,20,0.11400,67.00000,30.00000,119
10,0,0.10383,56.00000,35.00000,153
10,1,0.11416,66.00000,35.00000,113
10,2,0.10987,51.00000,35.00000,113
10,3,0.10385,70.00000,30.00000,117
10,4,0.10819,51.00000,35.00000,141
10,5,0.10031,64.00000,30.00000,138
10,6,0.11716,53.00000,35.00000,113
10,7,0.09652,65.00000,30.00000,114
10,8,0.10854,63.00000,30.00000,118
10,9,0.09631,74.00000,30.00000,106
10,10,0.11060,59.00000,36.00000,99
10,11,0.10218,69.00000,30.00000,91
10,12,0.09997,54.00000,36.00000,98
10,13,0.10346,63.00000,30.00000,105
10,14,0.09619,62.00000,35.00000,118
10,15,0.12027,62.00000,35.00000,107
10,16,0.11942,53.00000,35.00000,108
10,17,0.10579,50.00000,30.00000,138
10,18,0.12238,58.00000,36.00000,144
10,19,0.10695,66.00000,30.00000,138
10,20,0.13492,57.00000,35.00000,125
11,0,0.11132,65.00000,35.00000,140
11,1,0.11389,63.00000,30.00000,95
11,2,0.09835,61.00000,36.00000,150
11,3,0.10254,55.00000,36.00000,141
11,4,0.09826,65.00000,36.00000,102
11,5,0.10843,71.00000,30.00000,110
11,6,0.09109,58.00000,30.00000,98
11,7,0.12193,52.00000,35.00000,83
11,8,0.11092,56.00000,30.00000,112
11,9,0.11186,64.00000,30.00000,106
11,10,0.11574,73.00000,30.00000,118
11,11,0.09571,53.00000,36.00000,124
11,12,0.08981,64.00000,35.00000,102
11,13,0.09970,51.00000,35.00000,150
11,14,0.09222,65.00000,35.00000,132
11,15,0.11172,60.00000,30.00000,134
11,16,0.10650,57.00000,35.00000,138
