epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,0.44496,61.00000,30.00000,4499
1,1,0.35276,53.00000,35.00000,317
1,2,0.31730,49.00000,35.00000,151
1,3,0.30286,40.00000,36.00000,144
1,4,0.28609,67.00000,30.00000,156
1,5,0.27109,52.00000,35.00000,147
2,0,0.26277,54.00000,30.00000,125
2,1,0.24352,56.00000,35.00000,167
2,2,0.25542,58.00000,30.00000,106
2,3,0.22722,70.00000,30.00000,179
2,4,0.21019,61.00000,30.00000,137
2,5,0.21197,68.00000,30.00000,142
3,0,0.20331,49.00000,36.00000,1154
3,1,0.20160,56.00000,35.00000,220
3,2,0.18090,52.00000,36.00000,96
3,3,0.18075,61.00000,36.00000,97
3,4,0.16723,50.00000,30.00000,86
3,5,0.18609,63.00000,30.00000,110
4,0,0.15467,61.00000,35.00000,133
4,1,0.15744,65.00000,30.00000,97
4,2,0.16219,49.00000,35.00000,91
4,3,0.15012,49.00000,40.00000,91
4,4,0.15890,63.00000,35.00000,144
4,5,0.14507,68.00000,35.00000,147
5,0,0.14197,58.00000,35.00000,1159
5,1,0.13586,67.00000,30.00000,158
5,2,0.14091,57.00000,35.00000,94
5,3,0.14079,57.00000,35.00000,137
5,4,0.13740,53.00000,36.00000,137
5,5,0.15091,61.00000,35.00000,103
6,0,0.13524,64.00000,36.00000,105
6,1,0.13262,64.00000,30.00000,151
6,2,0.13154,76.00000,30.00000,143
6,3,0.12906,57.00000,36.00000,136
6,4,0.12411,48.00000,35.00000,95
6,5,0.12723,63.00000,35.00000,136
7,0,0.13045,52.00000,36.00000,1253
7,1,0.14269,53.00000,35.00000,129
7,2,0.13377,59.00000,35.00000,102
7,3,0.13704,71.00000,30.00000,91
7,4,0.14276,51.00000,40.00000,88
7,5,0.14654,56.00000,35.00000,102
8,0,0.12650,68.00000,30.00000,868
8,1,0.12515,65.00000,30.00000,110
8,2,0.12592,68.00000,30.00000,108
8,3,0.12125,57.00000,36.00000,133
8,4,0.13799,61.00000,30.00000,154
8,5,0.13677,52.00000,35.00000,138
9,0,0.12310,55.00000,35.00000,121
9,1,0.12201,53.00000,36.00000,112
9,2,0.13425,57.00000,35.00000,124
9,3,0.12449,65.00000,30.00000,102
9,4,0.13302,51.00000,36.00000,137
9,5,0.12387,53.00000,35.00000,135
10,0,0.12496,63.00000,35.00000,1195
10,1,0.12377,54.00000,36.00000,105
10,2,0.12626,50.00000,35.00000,137
10,3,0.11905,53.00000,36.00000,134
10,4,0.15677,72.00000,30.00000,169
10,5,0.15278,65.00000,30.00000,142
11,0,0.14787,61.00000,30.00000,117
11,1,0.15038,67.00000,35.00000,143
11,2,0.14638,60.00000,35.00000,125
11,3,0.14299,50.00000,35.00000,133
11,4,0.11815,57.00000,40.00000,135
11,5,0.15263,48.00000,35.00000,171
12,0,0.15510,56.00000,35.00000,1485
12,1,0.15449,53.00000,30.00000,104
12,2,0.16089,49.00000,35.00000,135
12,3,0.17432,69.00000,30.00000,170
12,4,0.15573,66.00000,30.00000,136
12,5,0.15719,61.00000,35.00000,88
13,0,0.15777,63.00000,30.00000,260
13,1,0.13501,63.00000,30.00000,105
13,2,0.14213,61.00000,30.00000,137
13,3,0.14530,62.00000,30.00000,120
13,4,0.15720,61.00000,35.00000,131
13,5,0.14922,67.00000,30.00000,145
14,0,0.13652,46.00000,36.00000,925
14,1,0.14736,63.00000,30.00000,118
14,2,0.14030,49.00000,35.00000,104
14,3,0.15268,65.00000,35.00000,132
14,4,0.12850,64.00000,30.00000,137
14,5,0.15512,59.00000,35.00000,132
15,0,0.12963,59.00000,30.00000,1595
15,1,0.14705,59.00000,30.00000,127
15,2,0.14904,74.00000,30.00000,98
15,3,0.13277,56.00000,35.00000,116
15,4,0.13387,60.00000,30.00000,148
15,5,0.15339,71.00000,30.00000,155
16,0,0.14929,68.00000,30.00000,372
16,1,0.15284,57.00000,35.00000,98
16,2,0.14065,71.00000,30.00000,143
16,3,0.14386,59.00000,30.00000,132
16,4,0.14547,58.00000,36.00000,94
16,5,0.14518,62.00000,30.00000,87
17,0,0.13601,57.00000,36.00000,151
17,1,0.14671,66.00000,30.00000,146
17,2,0.13870,63.00000,35.00000,108
17,3,0.11930,57.00000,35.00000,135
17,4,0.15529,77.00000,30.00000,144
17,5,0.15095,59.00000,36.00000,138
