epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,0.44496,50.00000,35.00000,4506
1,1,0.35276,53.00000,35.00000,311
1,2,0.31730,64.00000,30.00000,165
1,3,0.30286,65.00000,35.00000,133
1,4,0.28609,43.00000,36.00000,149
1,5,0.27109,66.00000,30.00000,147
2,0,0.26277,66.00000,30.00000,457
2,1,0.24352,60.00000,30.00000,167
2,2,0.25542,57.00000,35.00000,139
2,3,0.22722,70.00000,30.00000,148
2,4,0.21019,61.00000,30.00000,104
2,5,0.21197,68.00000,30.00000,141
3,0,0.20331,49.00000,36.00000,609
3,1,0.20160,54.00000,30.00000,221
3,2,0.18090,53.00000,35.00000,97
3,3,0.18075,61.00000,36.00000,93
3,4,0.16723,44.00000,36.00000,89
3,5,0.18609,63.00000,30.00000,106
4,0,0.15467,61.00000,35.00000,744
4,1,0.15744,58.00000,35.00000,116
4,2,0.16219,45.00000,40.00000,89
4,3,0.15012,59.00000,35.00000,92
4,4,0.15890,63.00000,35.00000,109
4,5,0.14507,63.00000,30.00000,135
5,0,0.14197,58.00000,35.00000,912
5,1,0.13586,60.00000,35.00000,161
5,2,0.14091,46.00000,36.00000,94
5,3,0.14079,72.00000,30.00000,142
5,4,0.13740,42.00000,35.00000,103
5,5,0.15091,61.00000,35.00000,130
6,0,0.13524,54.00000,35.00000,506
6,1,0.13262,47.00000,36.00000,128
6,2,0.13154,76.00000,30.00000,143
6,3,0.12906,53.00000,35.00000,135
6,4,0.12411,65.00000,30.00000,136
6,5,0.12723,48.00000,36.00000,132
7,0,0.13045,57.00000,30.00000,456
7,1,0.14269,53.00000,35.00000,135
7,2,0.13377,56.00000,36.00000,100
7,3,0.13704,53.00000,40.00000,93
7,4,0.14276,48.00000,35.00000,88
7,5,0.14654,56.00000,35.00000,110
8,0,0.12650,52.00000,30.00000,462
8,1,0.12515,57.00000,35.00000,107
8,2,0.12592,68.00000,30.00000,153
8,3,0.12125,57.00000,36.00000,135
8,4,0.13799,59.00000,30.00000,89
8,5,0.13677,64.00000,30.00000,134
9,0,0.12310,55.00000,35.00000,204
9,1,0.12201,63.00000,35.00000,88
9,2,0.13425,55.00000,30.00000,123
9,3,0.12449,55.00000,36.00000,98
9,4,0.13302,57.00000,35.00000,142
9,5,0.12387,66.00000,36.00000,136
10,0,0.12496,50.00000,36.00000,1047
10,1,0.12377,53.00000,35.00000,109
10,2,0.12626,50.00000,35.00000,135
10,3,0.11905,52.00000,30.00000,132
10,4,0.15677,72.00000,30.00000,137
10,5,0.15278,55.00000,36.00000,139
11,0,0.14787,55.00000,35.00000,906
11,1,0.15038,52.00000,40.00000,177
11,2,0.14638,60.00000,35.00000,113
11,3,0.14299,50.00000,35.00000,157
11,4,0.11815,65.00000,30.00000,108
11,5,0.15263,48.00000,35.00000,165
12,0,0.15510,56.00000,35.00000,1305
12,1,0.15449,64.00000,30.00000,154
12,2,0.16089,63.00000,30.00000,137
12,3,0.17432,69.00000,30.00000,105
12,4,0.15573,59.00000,35.00000,130
12,5,0.15719,61.00000,35.00000,119
13,0,0.15777,63.00000,30.00000,120
13,1,0.13501,66.00000,30.00000,97
13,2,0.14213,52.00000,35.00000,99
13,3,0.14530,62.00000,30.00000,156
13,4,0.15720,64.00000,30.00000,139
13,5,0.14922,67.00000,30.00000,137
14,0,0.13652,66.00000,30.00000,940
14,1,0.14736,45.00000,35.00000,137
14,2,0.14030,49.00000,35.00000,135
14,3,0.15268,63.00000,36.00000,104
14,4,0.12850,56.00000,30.00000,136
14,5,0.15512,59.00000,35.00000,134
15,0,0.12963,59.00000,30.00000,1093
15,1,0.14705,55.00000,30.00000,127
15,2,0.14904,74.00000,30.00000,115
15,3,0.13277,63.00000,30.00000,150
15,4,0.13387,60.00000,30.00000,150
15,5,0.15339,56.00000,35.00000,134
16,0,0.14929,58.00000,36.00000,1304
16,1,0.15284,57.00000,35.00000,98
16,2,0.14065,59.00000,30.00000,109
16,3,0.14386,59.00000,30.00000,133
16,4,0.14547,61.00000,30.00000,127
16,5,0.14518,72.00000,30.00000,93
17,0,0.13601,54.00000,35.00000,104
17,1,0.14671,48.00000,36.00000,147
17,2,0.13870,72.00000,30.00000,141
17,3,0.11930,65.00000,30.00000,144
17,4,0.15529,45.00000,35.00000,141
17,5,0.15095,59.00000,36.00000,138
18,0,0.14532,66.00000,30.00000,952
18,1,0.12540,53.00000,35.00000,109
18,2,0.15918,55.00000,35.00000,91
18,3,0.12666,68.00000,30.00000,94
18,4,0.15720,65.00000,35.00000,88
18,5,0.15385,52.00000,35.00000,144
19,0,0.15011,46.00000,36.00000,825
19,1,0.14610,61.00000,30.00000,133
19,2,0.15740,50.00000,35.00000,133
19,3,0.13911,52.00000,35.00000,87
19,4,0.13543,69.00000,30.00000,135
19,5,0.13215,59.00000,35.00000,95
20,0,0.13838,51.00000,40.00000,119
20,1,0.13300,50.00000,40.00000,121
20,2,0.15284,56.00000,35.00000,107
20,3,0.13887,59.00000,35.00000,132
20,4,0.13761,44.00000,36.00000,129
20,5,0.14496,49.00000,30.00000,111
21,0,0.13966,48.00000,36.00000,1210
21,1,0.14565,61.00000,35.00000,214
21,2,0.15794,71.00000,30.00000,109
21,3,0.13729,36.00000,36.00000,107
21,4,0.13867,60.00000,30.00000,105
21,5,0.13278,55.00000,36.00000,138
22,0,0.13158,50.00000,36.00000,798
22,1,0.13958,64.00000,30.00000,101
22,2,0.14666,71.00000,30.00000,107
22,3,0.13854,50.00000,36.00000,130
22,4,0.15618,37.00000,36.00000,138
22,5,0.15275,56.00000,35.00000,132
23,0,0.15156,67.00000,30.00000,101
23,1,0.14250,36.00000,36.00000,140
23,2,0.14971,49.00000,36.00000,139
23,3,0.14205,61.00000,30.00000,135
23,4,0.14179,65.00000,30.00000,97
23,5,0.14154,61.00000,35.00000,136
24,0,0.14792,69.00000,30.00000,1480
24,1,0.13615,46.00000,35.00000,106
24,2,0.15211,68.00000,30.00000,103
24,3,0.13527,49.00000,36.00000,101
24,4,0.14977,61.00000,30.00000,141
24,5,0.14917,62.00000,30.00000,117
25,0,0.14835,56.00000,35.00000,1018
25,1,0.14432,51.00000,35.00000,103
25,2,0.13207,53.00000,30.00000,163
25,3,0.15247,63.00000,30.00000,135
25,4,0.15840,55.00000,30.00000,143
25,5,0.14932,53.00000,35.00000,117
26,0,0.14321,57.00000,35.00000,168
26,1,0.13362,55.00000,30.00000,129
26,2,0.15427,64.00000,30.00000,171
26,3,0.14384,72.00000,30.00000,140
26,4,0.14965,73.00000,30.00000,104
26,5,0.15337,63.00000,36.00000,134
27,0,0.15936,55.00000,35.00000,137
27,1,0.15953,52.00000,36.00000,130
27,2,0.15086,49.00000,35.00000,141
27,3,0.14321,53.00000,30.00000,137
27,4,0.14688,68.00000,30.00000,141
27,5,0.13942,61.00000,35.00000,141
28,0,0.14580,49.00000,36.00000,113
28,1,0.17174,58.00000,35.00000,96
28,2,0.15805,66.00000,30.00000,140
28,3,0.12922,67.00000,30.00000,106
28,4,0.12770,68.00000,30.00000,138
28,5,0.14246,63.00000,30.00000,157
29,0,0.15412,54.00000,35.00000,210
29,1,0.13958,57.00000,30.00000,104
29,2,0.14557,54.00000,36.00000,96
29,3,0.14838,50.00000,35.00000,115
29,4,0.14249,58.00000,30.00000,106
29,5,0.14656,54.00000,35.00000,107
30,0,0.16099,69.00000,30.00000,240
30,1,0.15346,58.00000,35.00000,102
30,2,0.13558,69.00000,30.00000,95
30,3,0.14728,60.00000,35.00000,88
30,4,0.14820,62.00000,35.00000,88
30,5,0.13829,50.00000,35.00000,89
31,0,0.14145,43.00000,36.00000,1218
31,1,0.14094,70.00000,30.00000,135
31,2,0.14390,53.00000,36.00000,110
31,3,0.15129,66.00000,30.00000,107
31,4,0.15178,53.00000,30.00000,105
31,5,0.13548,51.00000,36.00000,108
32,0,0.15365,62.00000,30.00000,1087
32,1,0.14270,51.00000,36.00000,139
32,2,0.14389,44.00000,36.00000,122
32,3,0.16298,72.00000,30.00000,140
32,4,0.13836,64.00000,30.00000,138
32,5,0.13910,55.00000,40.00000,159
33,0,0.14113,55.00000,35.00000,622
33,1,0.15264,55.00000,35.00000,105
33,2,0.16829,61.00000,30.00000,105
33,3,0.13939,58.00000,35.00000,134
33,4,0.15085,51.00000,35.00000,137
33,5,0.14534,63.00000,30.00000,139
34,0,0.14855,61.00000,30.00000,108
34,1,0.13244,55.00000,35.00000,132
34,2,0.14621,43.00000,35.00000,132
34,3,0.15314,42.00000,36.00000,93
34,4,0.14532,54.00000,30.00000,93
34,5,0.15734,71.00000,30.00000,107
35,0,0.14231,60.00000,36.00000,127
35,1,0.15480,73.00000,30.00000,104
35,2,0.15947,62.00000,35.00000,124
35,3,0.14282,49.00000,35.00000,111
35,4,0.14540,50.00000,36.00000,136
35,5,0.14199,61.00000,35.00000,119
36,0,0.14983,56.00000,35.00000,98
36,1,0.16102,68.00000,30.00000,106
36,2,0.15516,61.00000,36.00000,144
36,3,0.13671,66.00000,30.00000,110
36,4,0.14945,58.00000,35.00000,110
36,5,0.12871,54.00000,36.00000,129
37,0,0.14548,55.00000,35.00000,1473
37,1,0.13964,69.00000,30.00000,134
37,2,0.14918,59.00000,40.00000,134
37,3,0.14222,70.00000,30.00000,153
37,4,0.14910,31.00000,36.00000,106
37,5,0.14436,57.00000,35.00000,117
38,0,0.16181,46.00000,36.00000,543
38,1,0.14153,55.00000,36.00000,159
38,2,0.14045,57.00000,35.00000,130
38,3,0.13813,61.00000,30.00000,120
38,4,0.13856,72.00000,30.00000,111
38,5,0.14774,50.00000,40.00000,135
39,0,0.13779,61.00000,35.00000,1178
39,1,0.14800,63.00000,30.00000,112
39,2,0.15077,63.00000,35.00000,137
39,3,0.14720,59.00000,30.00000,113
39,4,0.16415,49.00000,35.00000,143
39,5,0.13988,67.00000,35.00000,104
40,0,0.16044,43.00000,36.00000,1955
40,1,0.12800,56.00000,35.00000,149
40,2,0.14132,55.00000,35.00000,120
40,3,0.15390,47.00000,35.00000,135
40,4,0.14365,53.00000,36.00000,119
40,5,0.15845,48.00000,35.00000,139
41,0,0.13311,41.00000,36.00000,1144
41,1,0.13106,58.00000,35.00000,111
41,2,0.14862,64.00000,30.00000,134
41,3,0.16009,61.00000,35.00000,153
41,4,0.15363,57.00000,35.00000,137
41,5,0.15709,69.00000,30.00000,105
42,0,0.13496,48.00000,36.00000,998
42,1,0.14570,64.00000,30.00000,97
42,2,0.14082,42.00000,35.00000,126
42,3,0.13218,71.00000,30.00000,92
42,4,0.14210,56.00000,35.00000,93
42,5,0.15059,74.00000,30.00000,93
43,0,0.14635,51.00000,35.00000,269
43,1,0.14095,66.00000,30.00000,105
43,2,0.16352,53.00000,35.00000,106
43,3,0.13602,74.00000,30.00000,123
43,4,0.12553,69.00000,30.00000,136
43,5,0.14070,60.00000,35.00000,102
44,0,0.13794,51.00000,36.00000,1266
44,1,0.15064,57.00000,35.00000,155
44,2,0.14423,65.00000,35.00000,128
44,3,0.14963,60.00000,35.00000,153
44,4,0.13282,59.00000,35.00000,142
44,5,0.14742,63.00000,30.00000,138
45,0,0.13567,65.00000,30.00000,821
45,1,0.13880,46.00000,35.00000,120
45,2,0.14543,51.00000,36.00000,101
45,3,0.14394,55.00000,30.00000,106
45,4,0.13270,69.00000,30.00000,102
45,5,0.14011,49.00000,35.00000,138
46,0,0.13458,59.00000,30.00000,622
46,1,0.13131,70.00000,30.00000,113
46,2,0.14737,40.00000,40.00000,131
46,3,0.14298,54.00000,35.00000,130
46,4,0.13905,56.00000,36.00000,123
46,5,0.14163,69.00000,30.00000,121
47,0,0.14010,56.00000,36.00000,1815
47,1,0.14950,45.00000,36.00000,161
47,2,0.13928,60.00000,35.00000,136
47,3,0.13937,54.00000,35.00000,129
47,4,0.14055,56.00000,35.00000,88
47,5,0.13110,51.00000,35.00000,95
48,0,0.12876,63.00000,35.00000,223
48,1,0.15168,53.00000,36.00000,109
48,2,0.14722,49.00000,30.00000,108
48,3,0.14018,46.00000,35.00000,106
48,4,0.14017,59.00000,30.00000,84
48,5,0.15653,65.00000,30.00000,124
49,0,0.12995,61.00000,30.00000,903
49,1,0.15281,67.00000,30.00000,136
49,2,0.13561,60.00000,30.00000,135
49,3,0.14203,64.00000,30.00000,133
49,4,0.13682,57.00000,40.00000,138
49,5,0.14653,55.00000,35.00000,138
50,0,0.14377,57.00000,36.00000,1026
50,1,0.14431,53.00000,36.00000,141
50,2,0.13928,62.00000,30.00000,141
50,3,0.14752,61.00000,35.00000,138
50,4,0.14526,45.00000,36.00000,139
50,5,0.14899,46.00000,36.00000,134
51,0,0.15261,62.00000,30.00000,98
51,1,0.12763,58.00000,30.00000,105
51,2,0.13563,53.00000,30.00000,114
51,3,0.13200,59.00000,35.00000,90
51,4,0.14133,67.00000,35.00000,93
51,5,0.14448,68.00000,30.00000,132
52,0,0.13326,66.00000,30.00000,1465
52,1,0.14976,55.00000,36.00000,122
52,2,0.14573,68.00000,30.00000,89
52,3,0.15564,37.00000,36.00000,86
52,4,0.13021,55.00000,30.00000,89
52,5,0.13914,65.00000,35.00000,96
53,0,0.14494,56.00000,35.00000,1182
53,1,0.13906,49.00000,36.00000,104
53,2,0.14420,59.00000,35.00000,123
53,3,0.13213,59.00000,35.00000,89
53,4,0.14370,59.00000,35.00000,91
53,5,0.13335,65.00000,30.00000,99
54,0,0.13090,61.00000,30.00000,1384
54,1,0.14935,57.00000,35.00000,143
54,2,0.12598,71.00000,30.00000,103
54,3,0.14395,67.00000,30.00000,125
54,4,0.13871,52.00000,35.00000,101
54,5,0.12771,66.00000,30.00000,137
55,0,0.14566,50.00000,35.00000,1140
55,1,0.12745,54.00000,36.00000,95
55,2,0.14221,56.00000,35.00000,100
55,3,0.14238,62.00000,36.00000,120
55,4,0.13133,51.00000,36.00000,90
55,5,0.13726,52.00000,35.00000,105
56,0,0.13186,60.00000,36.00000,1231
56,1,0.14982,59.00000,30.00000,110
56,2,0.14798,51.00000,35.00000,87
56,3,0.14808,64.00000,35.00000,100
56,4,0.13279,42.00000,40.00000,87
56,5,0.13374,51.00000,35.00000,102
57,0,0.14810,38.00000,35.00000,533
57,1,0.13469,46.00000,35.00000,160
57,2,0.14750,53.00000,35.00000,142
57,3,0.13642,66.00000,30.00000,141
57,4,0.12927,64.00000,30.00000,139
57,5,0.12489,66.00000,36.00000,99
58,0,0.12472,69.00000,30.00000,1133
58,1,0.13487,47.00000,36.00000,98
58,2,0.14066,56.00000,36.00000,91
58,3,0.13642,69.00000,30.00000,93
58,4,0.13759,55.00000,36.00000,108
58,5,0.13732,50.00000,35.00000,122
59,0,0.13257,52.00000,35.00000,1520
59,1,0.13704,53.00000,35.00000,137
59,2,0.13517,73.00000,30.00000,134
59,3,0.15320,61.00000,36.00000,132
59,4,0.13560,52.00000,35.00000,135
59,5,0.13116,57.00000,35.00000,136
60,0,0.14544,65.00000,35.00000,737
60,1,0.13354,71.00000,30.00000,97
60,2,0.14338,58.00000,35.00000,105
60,3,0.14189,50.00000,35.00000,98
60,4,0.13762,59.00000,36.00000,100
60,5,0.14297,47.00000,36.00000,102
61,0,0.14474,73.00000,30.00000,729
61,1,0.13914,55.00000,35.00000,99
61,2,0.12881,61.00000,30.00000,108
61,3,0.15179,46.00000,35.00000,123
61,4,0.12942,43.00000,40.00000,116
61,5,0.13796,50.00000,36.00000,116
62,0,0.13180,65.00000,30.00000,138
62,1,0.14481,58.00000,30.00000,95
62,2,0.13475,53.00000,35.00000,94
62,3,0.13381,59.00000,35.00000,102
62,4,0.12734,62.00000,30.00000,138
62,5,0.14167,49.00000,36.00000,135
63,0,0.13573,68.00000,30.00000,107
63,1,0.13709,53.00000,30.00000,94
63,2,0.14902,67.00000,30.00000,136
63,3,0.13381,59.00000,30.00000,136
63,4,0.13068,73.00000,30.00000,136
63,5,0.12526,51.00000,35.00000,138
64,0,0.13059,56.00000,35.00000,923
64,1,0.14024,50.00000,36.00000,92
64,2,0.13895,64.00000,35.00000,134
64,3,0.15482,64.00000,35.00000,119
64,4,0.13284,64.00000,30.00000,103
64,5,0.13739,67.00000,30.00000,136
65,0,0.12826,55.00000,35.00000,755
65,1,0.13079,58.00000,35.00000,138
65,2,0.12446,52.00000,36.00000,135
65,3,0.15205,67.00000,30.00000,134
65,4,0.14101,58.00000,36.00000,134
65,5,0.13846,75.00000,30.00000,126
66,0,0.14644,49.00000,35.00000,1767
66,1,0.14848,74.00000,30.00000,100
66,2,0.11797,62.00000,35.00000,136
66,3,0.12903,62.00000,30.00000,87
66,4,0.14466,52.00000,36.00000,104
66,5,0.13096,70.00000,30.00000,104
67,0,0.12767,64.00000,30.00000,1554
67,1,0.13941,65.00000,30.00000,104
67,2,0.14367,56.00000,35.00000,133
67,3,0.14396,67.00000,35.00000,134
67,4,0.12523,60.00000,35.00000,96
67,5,0.13308,67.00000,30.00000,104
68,0,0.12564,51.00000,35.00000,1245
68,1,0.15378,57.00000,36.00000,138
68,2,0.12464,65.00000,30.00000,137
68,3,0.13389,66.00000,30.00000,136
68,4,0.13174,53.00000,36.00000,89
68,5,0.13303,63.00000,30.00000,99
69,0,0.13125,41.00000,35.00000,989
69,1,0.13084,50.00000,36.00000,114
69,2,0.13046,53.00000,30.00000,159
69,3,0.13160,58.00000,35.00000,140
69,4,0.14968,58.00000,36.00000,138
69,5,0.14438,72.00000,30.00000,98
70,0,0.12505,62.00000,30.00000,751
70,1,0.13072,66.00000,30.00000,119
70,2,0.14370,60.00000,30.00000,119
70,3,0.12950,68.00000,30.00000,108
70,4,0.13128,63.00000,35.00000,130
70,5,0.13030,41.00000,35.00000,133
71,0,0.13871,59.00000,30.00000,1423
71,1,0.14002,37.00000,36.00000,133
71,2,0.12681,70.00000,30.00000,87
71,3,0.13660,54.00000,36.00000,91
71,4,0.13812,67.00000,30.00000,104
71,5,0.12255,42.00000,35.00000,106
72,0,0.15229,40.00000,40.00000,122
72,1,0.13904,66.00000,30.00000,100
72,2,0.13436,55.00000,35.00000,126
72,3,0.13480,55.00000,36.00000,138
72,4,0.12853,53.00000,35.00000,129
72,5,0.13135,67.00000,30.00000,139
73,0,0.14131,66.00000,30.00000,290
73,1,0.13902,56.00000,35.00000,138
73,2,0.11703,59.00000,30.00000,138
73,3,0.14281,55.00000,30.00000,132
73,4,0.14597,50.00000,36.00000,95
73,5,0.14472,47.00000,40.00000,95
74,0,0.13798,64.00000,36.00000,1194
74,1,0.12647,64.00000,30.00000,140
74,2,0.13809,53.00000,40.00000,142
74,3,0.13644,70.00000,35.00000,140
74,4,0.15004,53.00000,36.00000,137
74,5,0.14825,60.00000,30.00000,141
75,0,0.13759,49.00000,36.00000,985
75,1,0.12649,50.00000,36.00000,156
75,2,0.13877,61.00000,30.00000,106
75,3,0.13139,64.00000,35.00000,137
75,4,0.12829,63.00000,30.00000,130
75,5,0.13081,61.00000,30.00000,137
76,0,0.12353,63.00000,30.00000,1773
76,1,0.13598,53.00000,36.00000,165
76,2,0.13951,46.00000,35.00000,97
76,3,0.12805,61.00000,36.00000,108
76,4,0.14092,64.00000,30.00000,110
76,5,0.13938,66.00000,30.00000,95
77,0,0.14886,57.00000,35.00000,1076
77,1,0.12211,55.00000,35.00000,98
77,2,0.13155,69.00000,35.00000,90
77,3,0.12230,66.00000,35.00000,122
77,4,0.14124,43.00000,35.00000,101
77,5,0.14300,56.00000,36.00000,135
78,0,0.14504,60.00000,30.00000,717
78,1,0.14514,45.00000,35.00000,104
78,2,0.12729,61.00000,36.00000,153
78,3,0.12831,55.00000,35.00000,141
78,4,0.14011,61.00000,36.00000,91
78,5,0.12382,72.00000,30.00000,91
79,0,0.13119,67.00000,30.00000,1393
79,1,0.12849,64.00000,35.00000,107
79,2,0.15284,46.00000,36.00000,106
79,3,0.12640,58.00000,30.00000,105
